img1,img2,dataset,attack_type
/content/face_module/dataset_extractedfaces/celeba_pairs/002329.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/163164.jpg,celeba_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/lfw_pairs/Lance Armstrong_15.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Tom Daschle_18.jpg,lfw_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000003_0071_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000003_0119_02.jpg,vggface2_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/celeba_pairs/103701.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/107964.jpg,celeba_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/celeba_pairs/074472.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/075517.jpg,celeba_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/celeba_pairs/042490.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/024795.jpg,celeba_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/celeba_pairs/034630.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/043469.jpg,celeba_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000011_0057_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000011_0081_01.jpg,vggface2_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/celeba_pairs/070435.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/080249.jpg,celeba_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/celeba_pairs/004488.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/005103.jpg,celeba_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/lfw_pairs/Venus Williams_9.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/James Wolfensohn_1.jpg,lfw_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/celeba_pairs/074291.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/101557.jpg,celeba_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/lfw_pairs/Catherine Deneuve_2.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/George W Bush_90.jpg,lfw_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/lfw_pairs/Paul Burrell_3.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Jason Kidd_4.jpg,lfw_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000004_0059_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000004_0199_01.jpg,vggface2_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/celeba_pairs/057779.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/065572.jpg,celeba_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/celeba_pairs/003206.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/008838.jpg,celeba_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000006_0092_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000006_0200_01.jpg,vggface2_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/lfw_pairs/Pierce Brosnan_2.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Pierce Brosnan_3.jpg,lfw_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000007_0177_04.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000008_0149_01.jpg,vggface2_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000004_0118_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000004_0390_01.jpg,vggface2_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/celeba_pairs/079209.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/112313.jpg,celeba_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000013_0158_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000015_0132_01.jpg,vggface2_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/celeba_pairs/131364.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/140464.jpg,celeba_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000012_0023_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000012_0243_01.jpg,vggface2_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/lfw_pairs/George W Bush_265.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/George W Bush_266.jpg,lfw_pairs,dodging_attack
/content/face_module/dataset_extractedfaces/celeba_pairs/039495.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/077482.jpg,celeba_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/celeba_pairs/140288.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/129723.jpg,celeba_pairs,impersonation_attack
/content/face_module/dataset_extractedfaces/vggface2_pairs/n000008_0048_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000008_0195_01.jpg,vggface2_pairs,dodging_attack
